"Activity Type","Transaction Ref ID",Customer/CFA,"Customer/CFA ID","Customer/CFA external ID","Customer/CFA Name","Customer Address",City,"customer subtype",planned(Yes/No),"Customer/CFA Latitude","Customer/CFA Longitude","Visit Date","Visit Time","User BR ID","User Name","User Emp Role ID","user role",reportsToBRID,reportsToName,partner_name,partner_external_id,Purpose,Details,starting_km_reading,ending_km_reading,latitude,longitude,"Activity Address","Distance Away from Customer (in meters)","Synced On"
Workflow,34189416,Customer,12332193,0002010331,"2010331 - SHIVNERI AGRO SERVICES","SHIRWADE VANI, NIPHAD, NASHIK, Maharashtra, India, 423111",NIPHAD,Dealer,No,,,2026-01-29,21:37:59,231725,"Dhananjay Ushir_PIMPALGAON BASVANT",B40,"Territory Manager",231718,D.DHOMSE_Nashik,"CFA - Pune",A521,"Payment Tagging Information","Payment Tagging Information",,,,,,NA,"30 Jan 2026 11:13:47 AM"
Workflow,34182742,Customer,13186265,0002002892,"2002892 - SURYACHANDRA SEEDS & PESTICIDES","D NO 21 - 2 - 04/ 7B, PATNAM BAZAR,, GUNTUR, Andhra Pradesh, India, 522003",GUNTUR,DISTRIBUTOR,No,,,2026-01-29,15:59:11,240509,"Bareddy Venkateswarlu _Guntur",C33,"Territory Manager",240508,"Murali G _guntur",Vijayawada,A732,"Payment Tagging Information","Payment Tagging Information",,,,,"near hotel geeta regency, Arundelpet, Guntur, Andhra Pradesh 522002, India",NA,"30 Jan 2026 10:55:15 AM"
Workflow,34182742,Customer,13186265,0002002892,"2002892 - SURYACHANDRA SEEDS & PESTICIDES","D NO 21 - 2 - 04/ 7B, PATNAM BAZAR,, GUNTUR, Andhra Pradesh, India, 522003",GUNTUR,DISTRIBUTOR,No,,,2026-01-29,15:58:21,240509,"Bareddy Venkateswarlu _Guntur",C33,"Territory Manager",240508,"Murali G _guntur",Vijayawada,A732,"Payment Tagging Information","Payment Tagging Information",,,,,"near hotel geeta regency, Arundelpet, Guntur, Andhra Pradesh 522002, India",NA,"30 Jan 2026 10:55:15 AM"
Workflow,34178563,Customer,14976255,0002013241,"2013241 - ANJAYANEYA FERTILIZERS AND PESTICID","SHOP NO 512/1 & 513/2,, IEEJA, MAHABUBNAGAR, Telangana, India, 509127",IEEJA,DISTRIBUTOR,No,,,2026-01-29,11:34:26,245002,"M SUNEEL KUMAR_Gadwal",I4,"Territory Manager",240666,"Bera Sharath Chandra Kiran",Vijayawada,A732,"Payment Tagging Information","Payment Tagging Information",,,,,,NA,"30 Jan 2026 10:41:41 AM"
Workflow,34178565,Customer,14874016,0002016452,"2016452 - UMA TRADERS","SHOP NO. 5-49/22,, PEBBAIR, WANAPARTHY, Telangana, India, 509104",PEBBAIR,Dealer,No,16.203314900000,77.995453100000,2026-01-29,11:34:06,245002,"M SUNEEL KUMAR_Gadwal",I4,"Territory Manager",240666,"Bera Sharath Chandra Kiran","A735 -CFA Hyderabad",A735,"Payment Tagging Information","Payment Tagging Information",,,16.2033149000,77.9954531000,"SHOP NO. 5-49/22,, PEBBAIR, WANAPARTHY, Telangana, 509104",,"30 Jan 2026 10:41:41 AM"
Workflow,34178563,Customer,14976255,0002013241,"2013241 - ANJAYANEYA FERTILIZERS AND PESTICID","SHOP NO 512/1 & 513/2,, IEEJA, MAHABUBNAGAR, Telangana, India, 509127",IEEJA,DISTRIBUTOR,No,,,2026-01-29,11:32:16,245002,"M SUNEEL KUMAR_Gadwal",I4,"Territory Manager",240666,"Bera Sharath Chandra Kiran",Vijayawada,A732,"Payment Tagging Information","Payment Tagging Information",,,,,,NA,"30 Jan 2026 10:41:41 AM"
Workflow,34178565,Customer,14874016,0002016452,"2016452 - UMA TRADERS","SHOP NO. 5-49/22,, PEBBAIR, WANAPARTHY, Telangana, India, 509104",PEBBAIR,Dealer,No,16.203314900000,77.995453100000,2026-01-29,11:31:36,245002,"M SUNEEL KUMAR_Gadwal",I4,"Territory Manager",240666,"Bera Sharath Chandra Kiran","A735 -CFA Hyderabad",A735,"Payment Tagging Information","Payment Tagging Information",,,16.2033149000,77.9954531000,"SHOP NO. 5-49/22,, PEBBAIR, WANAPARTHY, Telangana, 509104",,"30 Jan 2026 10:41:41 AM"
"Visit Note",10817585,Customer,18996784,"-- --","Jeevika khad bij Bhandar","Dhanora ,  , Pipleeghosi Khurd, Moradabad Division, Uttar Pradesh, India, 244251","Pipleeghosi Khurd",Retailer,No,28.916731500000,78.367159200000,2026-01-29,14:20:53,262197,Nishu,3728171,"Sales Rep",238122,"Ankit Singh _MORADABAD",A183-LUCKNOW,A183,"Customer Note","retailers visit",,,28.9167295,78.3671298,"W988+JWJ, Pipleeghosi Khurd, Uttar Pradesh 244251, India",2.86999,"30 Jan 2026 10:05:27 AM"
"End Day",3110270,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,22:19:28,243065,"Rama Avdhut Wanare",3321821,"Sales Rep",239195,"Vikas nagre _BULDHANA",,,"Day Ended","Day Ended",,,20.8115639,76.2066857,,NA,"30 Jan 2026 09:24:59 AM"
Tourvisit,16145556,Customer,0,"-- --","-- --","-- --","-- --",,No,,,2026-01-29,21:33:58,243872,"Basymon M G",3308123,"Sales Rep",239812,"Vinu Kumar S _Pallakad",,,"End of the day","stop my duty ",,,11.6554867,76.1684718,"M549+6G6, Meenangadi, Kerala 673591, India",NA,"30 Jan 2026 09:22:51 AM"
